株式コード,決算期,決算種別,連結基準,
7203,1985/06,10,1,
7203,1986/06,10,1,
7203,1987/06,10,1,
7203,1988/06,10,1,
7203,1989/06,10,1,
7203,1990/06,10,1,
7203,1991/06,10,1,
7203,1992/06,10,1,
7203,1993/06,10,1,
7203,1994/06,10,1,
7203,1995/03,10,1,
7203,1996/03,10,1,
7203,1997/03,10,1,
7203,1998/03,10,1,
7203,1999/03,10,1,
7203,2000/03,10,1,
7203,2001/03,10,1,
7203,2002/03,10,1,
7203,2003/03,10,1,
7203,2004/03,10,2,
7203,2005/03,10,2,
7203,2006/03,10,2,
7203,2007/03,10,2,
7203,2008/03,10,2,
7203,2009/03,10,2,
7203,2010/03,10,2,
7203,2011/03,10,2,465485
7203,2012/03,10,2,368302
7203,2013/03,10,2,1083482
7203,2014/03,10,2,1991648
7203,2015/03,10,2,2307904
7203,2016/03,10,2,2434211
7203,2017/03,10,2,1926985
