期間,株式コード,終値
1985/04/07,7203,1250
1985/04/14,7203,1250
1985/04/21,7203,1330
1985/04/28,7203,1300
1985/05/05,7203,1290
1985/05/12,7203,1280
1985/05/19,7203,1270
1985/05/26,7203,1220
1985/06/02,7203,1190
1985/06/09,7203,1240
1985/06/16,7203,1250
1985/06/23,7203,1270
1985/06/30,7203,1280
1985/07/07,7203,1230
1985/07/14,7203,1230
1985/07/21,7203,1200
1985/07/28,7203,1160
1985/08/04,7203,1160
1985/08/11,7203,1180
1985/08/18,7203,1160
1985/08/25,7203,1130
1985/09/01,7203,1130
1985/09/08,7203,1150
1985/09/15,7203,1160
1985/09/22,7203,1040
1985/09/29,7203,1080
1985/10/06,7203,1140
1985/10/13,7203,1110
1985/10/20,7203,1110
1985/10/27,7203,1110
1985/11/03,7203,1130
1985/11/10,7203,1120
1985/11/17,7203,1160
1985/11/24,7203,1160
1985/12/01,7203,1150
1985/12/08,7203,1220
1985/12/15,7203,1190
1985/12/22,7203,1220
1985/12/29,7203,1240
1986/01/05,7203,1250
1986/01/12,7203,1250
1986/01/19,7203,1240
1986/01/26,7203,1230
1986/02/02,7203,1250
1986/02/09,7203,1230
1986/02/16,7203,1220
1986/02/23,7203,1170
1986/03/02,7203,1210
1986/03/09,7203,1150
1986/03/16,7203,1200
1986/03/23,7203,1300
1986/03/30,7203,1450
1986/04/06,7203,1410
1986/04/13,7203,1480
1986/04/20,7203,1630
1986/04/27,7203,1580
1986/05/04,7203,1510
1986/05/11,7203,1480
1986/05/18,7203,1480
1986/05/25,7203,1560
1986/06/01,7203,1510
1986/06/08,7203,1560
1986/06/15,7203,1560
1986/06/22,7203,1560
1986/06/29,7203,1500
1986/07/06,7203,1400
1986/07/13,7203,1260
1986/07/20,7203,1340
1986/07/27,7203,1240
1986/08/03,7203,1440
1986/08/10,7203,1370
1986/08/17,7203,1570
1986/08/24,7203,1580
1986/08/31,7203,1780
1986/09/07,7203,1850
1986/09/14,7203,1890
1986/09/21,7203,2090
1986/09/28,7203,1940
1986/10/05,7203,1970
1986/10/12,7203,1920
1986/10/19,7203,1940
1986/10/26,7203,1930
1986/11/02,7203,1800
1986/11/09,7203,1810
1986/11/16,7203,1940
1986/11/23,7203,1980
1986/11/30,7203,2160
1986/12/07,7203,2190
1986/12/14,7203,2300
1986/12/21,7203,2200
1987/01/04,7203,1950
1987/01/11,7203,1850
1987/01/18,7203,1830
1987/01/25,7203,1880
1987/02/01,7203,1850
1987/02/08,7203,1780
1987/02/15,7203,1830
1987/02/22,7203,1770
1987/03/01,7203,1780
1987/03/08,7203,1830
1987/03/15,7203,1770
1987/03/22,7203,1620
1987/03/29,7203,1560
1987/04/05,7203,1460
1987/04/12,7203,1520
1987/04/19,7203,1490
1987/04/26,7203,1640
1987/05/03,7203,1620
1987/05/10,7203,1620
1987/05/17,7203,1720
1987/05/24,7203,1830
1987/05/31,7203,1840
1987/06/07,7203,1970
1987/06/14,7203,1970
1987/06/21,7203,1960
1987/06/28,7203,1960
1987/07/05,7203,1850
1987/07/12,7203,1780
1987/07/19,7203,1790
1987/07/26,7203,2050
1987/08/02,7203,2000
1987/08/09,7203,2190
1987/08/16,7203,2000
1987/08/23,7203,1930
1987/08/30,7203,1930
1987/09/06,7203,1960
1987/09/13,7203,2000
1987/09/20,7203,2040
1987/09/27,7203,2240
1987/10/04,7203,2400
1987/10/11,7203,2220
1987/10/18,7203,1810
1987/10/25,7203,1830
1987/11/01,7203,1770
1987/11/08,7203,1860
1987/11/15,7203,1850
1987/11/22,7203,1840
1987/11/29,7203,1780
1987/12/06,7203,1810
1987/12/13,7203,1820
1987/12/20,7203,1820
1987/12/27,7203,1840
1988/01/03,7203,1880
1988/01/10,7203,1830
1988/01/17,7203,1840
1988/01/24,7203,1900
1988/01/31,7203,1840
1988/02/07,7203,1910
1988/02/14,7203,2070
1988/02/21,7203,2190
1988/02/28,7203,2390
1988/03/06,7203,2380
1988/03/13,7203,2480
1988/03/20,7203,2300
1988/03/27,7203,2360
1988/04/03,7203,2430
1988/04/10,7203,2430
1988/04/17,7203,2400
1988/04/24,7203,2420
1988/05/01,7203,2380
1988/05/08,7203,2350
1988/05/15,7203,2290
1988/05/22,7203,2240
1988/05/29,7203,2260
1988/06/05,7203,2260
1988/06/12,7203,2290
1988/06/19,7203,2260
1988/06/26,7203,2300
1988/07/03,7203,2440
1988/07/10,7203,2690
1988/07/17,7203,2940
1988/07/24,7203,3000
1988/07/31,7203,2880
1988/08/07,7203,2780
1988/08/14,7203,2810
1988/08/21,7203,2670
1988/08/28,7203,2600
1988/09/04,7203,2530
1988/09/11,7203,2670
1988/09/18,7203,2560
1988/09/25,7203,2600
1988/10/02,7203,2500
1988/10/09,7203,2470
1988/10/16,7203,2450
1988/10/23,7203,2450
1988/10/30,7203,2320
1988/11/06,7203,2280
1988/11/13,7203,2540
1988/11/20,7203,2500
1988/11/27,7203,2450
1988/12/04,7203,2460
1988/12/11,7203,2590
1988/12/18,7203,2530
1988/12/25,7203,2540
1989/01/01,7203,2570
1989/01/08,7203,2630
1989/01/15,7203,2530
1989/01/22,7203,2690
1989/01/29,7203,2570
1989/02/05,7203,2620
1989/02/12,7203,2510
1989/02/19,7203,2560
1989/02/26,7203,2550
1989/03/05,7203,2480
1989/03/12,7203,2510
1989/03/19,7203,2500
1989/03/26,7203,2520
1989/04/02,7203,2480
1989/04/09,7203,2500
1989/04/16,7203,2470
1989/04/23,7203,2530
1989/04/30,7203,2600
1989/05/07,7203,2610
1989/05/14,7203,2670
1989/05/21,7203,2720
1989/05/28,7203,2740
1989/06/04,7203,2680
1989/06/11,7203,2670
1989/06/18,7203,2710
1989/06/25,7203,2530
1989/07/02,7203,2630
1989/07/09,7203,2560
1989/07/16,7203,2550
1989/07/23,7203,2530
1989/07/30,7203,2540
1989/08/06,7203,2640
1989/08/13,7203,2650
1989/08/20,7203,2650
1989/08/27,7203,2620
1989/09/03,7203,2530
1989/09/10,7203,2560
1989/09/17,7203,2530
1989/09/24,7203,2570
1989/10/01,7203,2440
1989/10/08,7203,2790
1989/10/15,7203,2650
1989/10/22,7203,2680
1989/10/29,7203,2690
1989/11/05,7203,2590
1989/11/12,7203,2560
1989/11/19,7203,2600
1989/11/26,7203,2640
1989/12/03,7203,2630
1989/12/10,7203,2610
1989/12/17,7203,2520
1989/12/24,7203,2540
1989/12/31,7203,2530
1990/01/07,7203,2560
1990/01/14,7203,2460
1990/01/21,7203,2490
1990/01/28,7203,2490
1990/02/04,7203,2460
1990/02/11,7203,2520
1990/02/18,7203,2320
1990/02/25,7203,2320
1990/03/04,7203,2330
1990/03/11,7203,2170
1990/03/18,7203,2120
1990/03/25,7203,2220
1990/04/01,7203,2390
1990/04/08,7203,2360
1990/04/15,7203,2340
1990/04/22,7203,2330
1990/04/29,7203,2390
1990/05/06,7203,2440
1990/05/13,7203,2420
1990/05/20,7203,2470
1990/05/27,7203,2530
1990/06/03,7203,2550
1990/06/10,7203,2550
1990/06/17,7203,2560
1990/06/24,7203,2350
1990/07/01,7203,2290
1990/07/08,7203,2270
1990/07/15,7203,2260
1990/07/22,7203,2200
1990/07/29,7203,2060
1990/08/05,7203,1990
1990/08/12,7203,1950
1990/08/19,7203,2000
1990/08/26,7203,2030
1990/09/02,7203,1950
1990/09/09,7203,1910
1990/09/16,7203,1840
1990/09/23,7203,1800
1990/09/30,7203,1940
1990/10/07,7203,1860
1990/10/14,7203,1880
1990/10/21,7203,1860
1990/10/28,7203,1800
1990/11/04,7203,1780
1990/11/11,7203,1750
1990/11/18,7203,1770
1990/11/25,7203,1760
1990/12/02,7203,1800
1990/12/09,7203,1750
1990/12/16,7203,1730
1990/12/23,7203,1750
1990/12/30,7203,1750
1991/01/06,7203,1770
1991/01/13,7203,1790
1991/01/20,7203,1740
1991/01/27,7203,1730
1991/02/03,7203,1730
1991/02/10,7203,1770
1991/02/17,7203,1790
1991/02/24,7203,1840
1991/03/03,7203,1920
1991/03/10,7203,1950
1991/03/17,7203,1830
1991/03/24,7203,1850
1991/03/31,7203,1850
1991/04/07,7203,1830
1991/04/14,7203,1850
1991/04/21,7203,1830
1991/04/28,7203,1870
1991/05/05,7203,1800
1991/05/12,7203,1800
1991/05/19,7203,1800
1991/05/26,7203,1800
1991/06/02,7203,1800
1991/06/09,7203,1830
1991/06/16,7203,1820
1991/06/23,7203,1650
1991/06/30,7203,1640
1991/07/07,7203,1670
