,mvarp
1,107.848439946049
2,105.181396613402
3,105.841256955371
4,102.999289680346
5,97.9182782729236
6,100.102145661439
7,99.3085200496469
8,100.328079814059
9,98.8716665277835
10,102.126041224013
11,99.0893262320062
12,98.1411737066025
13,88.6531305786571
14,81.2117884374218
15,86.5256285361258
16,83.3316360074714
17,92.8149456649501
18,97.6497170918256
19,104.187186384385
20,100.584932683171
21,103.632948095607
22,102.26387240105
23,107.58428456764
24,107.245005423128
25,107.250497051631
26,108.82636203459
27,104.759923935232
28,110.235456273537
29,109.947292648384
30,107.52585786322
31,110.167351953961
32,114.203984442679
33,112.582581623317
34,114.823771434269
35,119.961070900923
36,124.966000652096
37,123.031172074335
38,127.026145882799
39,117.447012443271
40,112.86815892052
41,116.473115292237
42,119.454879605385
43,122.104896379318
44,122.075610174821
45,127.225370185561
46,131.856838462749
47,131.028106508038
48,126.132042099142
49,130.495836832259
50,133.806572754121
51,136.156691982705
52,143.974430096011
53,142.293857549577
54,147.297811448824
55,132.469590533818
56,116.926209302014
57,120.721970356723
58,115.833161606086
59,112.111029596716
60,118.065176849165
61,120.362467963462
62,119.019227130337
63,123.545510494433
64,119.679915239973
65,118.830596005651
66,111.46237344445
67,104.810483944595
68,105.926320325618
69,104.261602340683
70,102.365431704727
71,105.874436442285
72,109.978508718973
73,106.394842688156
74,106.16944899613
75,110.794096597898
76,104.325540893047
77,110.133545722654
78,108.601345398645
79,107.595655777561
80,109.369928114805
81,109.833574671385
82,114.078348812744
83,120.866574052488
84,116.801475261667
85,123.122408024752
86,125.785979799365
87,120.817696258555
88,121.437053559756
89,125.890765757912
90,120.547588953971
91,118.472839526219
92,123.198612818558
93,123.535777593452
94,128.972998440363
95,133.232336102726
96,133.304323984358
97,129.679375138702
98,129.448720594966
99,124.600528829774
100,122.282664435364
101,116.777338238955
102,121.080445612612
103,123.096469671417
104,127.8003730925
105,121.499503067949
106,123.592518391404
107,118.012254162491
108,120.193729804298
109,119.649858614522
110,121.47141998665
111,116.552462027314
112,120.714481455652
113,120.39712072995
114,117.410844328561
115,112.224880252934
116,108.377301381584
117,109.480214954781
118,107.814727836616
119,106.624953425513
120,107.992937346244
121,109.986258884963
122,108.877936822446
123,112.075498068292
124,107.263753250812
125,110.058185573203
126,111.904493748156
127,110.87513298104
128,109.713698144388
129,104.7406728787
130,103.53092075708
131,103.856763207949
132,105.936364821995
133,106.626684615707
134,106.827276680134
135,107.944123965377
136,110.156527779767
137,113.502512598789
138,109.756748514394
139,110.872789786669
140,116.685853867504
141,118.510904920059
142,118.393263121633
143,114.133615995945
144,117.97556614985
145,116.90498053265
146,116.061800720753
147,109.106295201943
148,115.048893783696
149,116.240540319717
150,116.460830203983
151,117.8926864885
152,118.713658184644
153,116.638075720734
154,118.291698610352
155,121.212990614521
156,121.473636146633
157,115.74188601786
158,118.678589715368
159,121.399185245219
160,122.169750979418
161,121.466033038285
162,116.745409788287
163,115.504453521844
164,117.322260761245
165,111.434039034479
166,114.206270725933
167,109.777095083902
168,108.993101493843
169,100.242753740896
170,105.351401839985
171,104.616615826346
172,109.409002682377
173,107.600458064825
174,110.579835227415
175,107.565822180398
176,100.029187865172
177,97.1030641817358
178,90.525381452023
179,90.8133605338618
180,91.6013516674554
181,97.292565482325
182,98.5793557545222
183,94.3963149872427
184,94.9822237016917
185,91.9947433062082
186,93.9841379039358
187,90.8161032661502
188,89.5357696165003
189,88.9319200358929
190,88.3852167712916
191,90.9184738303736
192,89.8376140126368
193,90.1506994896477
194,94.8136912981328
195,91.8415460630782
196,90.3604423350426
197,88.2298392339869
198,85.7732894967224
199,85.5935914983485
200,81.9659039619478
201,82.2771992744582
202,84.5848533946128
203,82.0465359716697
204,81.5846703379737
205,84.0885152369795
206,84.684442388055
207,81.1767016628209
208,80.1580521397134
209,79.8070611716959
210,77.100293896291
211,77.4773850016049
212,78.3373927159473
213,77.5833814197337
214,78.833725110957
215,78.5309282103156
216,79.6196322049924
217,84.7175631262834
218,82.3006750523103
219,79.8950356168169
220,79.5345461429636
221,79.3203912556222
222,78.8831608564694
223,78.4323806732665
224,79.3085168945885
225,81.5773119875402
226,84.425771277131
227,90.3772612580464
228,94.4304818931571
229,95.188635679529
230,98.3701232994099
231,101.83835059083
232,97.2067053179501
233,100.060994128
234,97.8581473690898
235,99.2152572707023
236,97.4856827808887
237,99.8852719375626
238,105.122079066993
239,104.327925842698
240,101.580849848557
241,101.863369095143
242,103.011533746486
243,102.519778374961
244,101.635538333027
245,102.587255012683
246,102.89387024262
247,108.361716945829
248,109.444353137202
249,117.847570467069
250,121.009093263457
251,119.163296880399
252,118.222685881081
253,122.8524818711
254,119.585609087255
255,121.614902502314
256,125.055133609907
257,124.226382208462
258,123.27812687092
259,120.019924892748
260,120.407201580973
261,123.299914827917
262,122.694214473339
263,117.575859641685
264,114.651614026548
265,112.690137114422
266,109.700377274054
267,109.003127942866
268,105.836577736904
269,102.88649582028
270,101.387522275423
271,102.889946221012
272,104.936847788858
273,110.875183096155
274,120.389162948146
275,113.338423268004
276,112.462557711141
277,113.694553515357
278,109.173210522763
279,112.751144049039
280,111.634266307396
281,113.323786100243
282,110.183915430607
283,111.29349081825
284,114.143309994415
285,113.457504573723
286,113.022116640767
287,110.29198611064
288,107.217340167766
289,105.391684971451
